"ï»¿""Plot Title: OM_WL3""",,,,,,,,
#,"Date Time, GMT-07:00","Abs Pres, kPa (LGR S/N: 20389410, SEN S/N: 20389410)","Temp, Â°C (LGR S/N: 20389410, SEN S/N: 20389410)",Coupler Detached (LGR S/N: 20389410),Coupler Attached (LGR S/N: 20389410),Host Connected (LGR S/N: 20389410),Stopped (LGR S/N: 20389410),End Of File (LGR S/N: 20389410)
367,9/1/18 20:30,96.31,25.708,,,,,
368,9/1/18 20:35,96.325,25.61,,,,,
369,9/1/18 20:40,96.325,25.61,,,,,
370,9/1/18 20:45,96.342,25.61,,,,,
371,9/1/18 20:50,96.325,25.61,,,,,
372,9/1/18 20:55,96.339,25.513,,,,,
373,9/1/18 21:00,96.339,25.513,,,,,
374,9/1/18 21:05,96.339,25.513,,,,,
375,9/1/18 21:10,96.354,25.416,,,,,
376,9/1/18 21:15,96.372,25.416,,,,,
377,9/1/18 21:20,96.372,25.416,,,,,
378,9/1/18 21:25,96.369,25.319,,,,,
379,9/1/18 21:30,96.387,25.319,,,,,
380,9/1/18 21:35,96.405,25.319,,,,,
381,9/1/18 21:40,96.405,25.319,,,,,
382,9/1/18 21:45,96.42,25.222,,,,,
383,9/1/18 21:50,96.402,25.222,,,,,
384,9/1/18 21:55,96.402,25.222,,,,,
385,9/1/18 22:00,96.382,25.125,,,,,
386,9/1/18 22:05,96.399,25.125,,,,,
387,9/1/18 22:10,96.435,25.125,,,,,
388,9/1/18 22:15,96.417,25.125,,,,,
389,9/1/18 22:20,96.435,25.125,,,,,
390,9/1/18 22:25,96.432,25.028,,,,,
391,9/1/18 22:30,96.432,25.028,,,,,
392,9/1/18 22:35,96.432,25.028,,,,,
393,9/1/18 22:40,96.414,25.028,,,,,
394,9/1/18 22:45,96.412,24.931,,,,,
395,9/1/18 22:50,96.412,24.931,,,,,
396,9/1/18 22:55,96.412,24.931,,,,,
397,9/1/18 23:00,96.412,24.931,,,,,
398,9/1/18 23:05,96.426,24.835,,,,,
399,9/1/18 23:10,96.426,24.835,,,,,
400,9/1/18 23:15,96.426,24.835,,,,,
401,9/1/18 23:20,96.426,24.835,,,,,
402,9/1/18 23:25,96.444,24.835,,,,,
403,9/1/18 23:30,96.459,24.738,,,,,
404,9/1/18 23:35,96.441,24.738,,,,,
405,9/1/18 23:40,96.459,24.738,,,,,
406,9/1/18 23:45,96.459,24.738,,,,,
407,9/1/18 23:50,96.474,24.641,,,,,
408,9/1/18 23:55,96.474,24.641,,,,,
409,9/2/18 0:00,96.474,24.641,,,,,
410,9/2/18 0:05,96.474,24.641,,,,,
411,9/2/18 0:10,96.492,24.641,,,,,
412,9/2/18 0:15,96.507,24.545,,,,,
413,9/2/18 0:20,96.507,24.545,,,,,
414,9/2/18 0:25,96.507,24.545,,,,,
415,9/2/18 0:30,96.525,24.545,,,,,
416,9/2/18 0:35,96.507,24.545,,,,,
417,9/2/18 0:40,96.522,24.448,,,,,
418,9/2/18 0:45,96.522,24.448,,,,,
419,9/2/18 0:50,96.522,24.448,,,,,
420,9/2/18 0:55,96.522,24.448,,,,,
421,9/2/18 1:00,96.522,24.448,,,,,
422,9/2/18 1:05,96.522,24.448,,,,,
423,9/2/18 1:10,96.537,24.351,,,,,
424,9/2/18 1:15,96.519,24.351,,,,,
425,9/2/18 1:20,96.519,24.351,,,,,
426,9/2/18 1:25,96.519,24.351,,,,,
427,9/2/18 1:30,96.537,24.351,,,,,
428,9/2/18 1:35,96.554,24.351,,,,,
429,9/2/18 1:40,96.554,24.351,,,,,
430,9/2/18 1:45,96.554,24.351,,,,,
431,9/2/18 1:50,96.572,24.351,,,,,
432,9/2/18 1:55,96.587,24.255,,,,,
